year,industry_code,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
2006,11,65,638,695.1,19454.37,232473.63671875,1058587.46,503706.87
2006,12,107,4689,15077.84,64511.72,15768.459245283018,912906.52,150535.57
2006,NA,1,16,20.24,21.6,697.12,551.33,76.85
2007,1,68,824,7375.28,23465.72,10186.530303030304,644212.55,108642.17
2007,2,122,8581,86343.98,186779.94,21420.324214876033,2313706.15,270352.62
2007,3,351,17286,71098.31,109941.83,7093.863266475645,2341778.23,309038.54
2007,4,38,1390,6633.22,188310.23,48470.90184210526,1965865.23,421487.99
2007,5,125,3880,26406.34,57048.45,9395.12344,1034027.23,161146.04
2007,6,668,46798,149227.88,134984.22,3811.492149390244,2193219.49,347417
2007,7,46,1034,8854.02,142045.14,50202.91681818182,1067437.82,333827.56
2007,8,20,40,196.91,46047.229999999996,37107.432,252646.55,69403.53
2007,9,39,1021,2441.79,55417.45,20720.921794871796,1516479.26,101722.77
2007,10,421,7083,125897.78,41571.04,3300.3005528846156,777254.09,217039.09
2007,11,67,596,556.34,25033.71,281877.7498484849,1348299.43,622239.76
2007,12,96,4189,13856.289999999999,81214.05,21686.814210526314,1022540.18,197918.86
2007,NA,1,25,22.98,23.12,799.95,657.89,94.26
2008,1,68,793,7745.01,25298.02,10369.525454545455,692178.84,101781.07
2008,2,127,8189,86027.83,173683.83,18908.724206349205,2032069.26,157952.8
2008,3,338,16783,68986.9,122846.96,7638.672529761905,2434572.9,286115.63
2008,4,39,1425,7180.46,235522.87,49905.36315789474,2565509.73,462315.23
2008,5,122,3538,26839.15,57082.74,9358.331818181818,1031650.83,148425.96
2008,6,635,50211,157336.32,119745.09,3891.2480258899677,2202959.2,337232.83
2008,7,44,1262,8869.710000000001,144310.71,49688.009545454544,1083986.94,351348.57
2008,8,18,37,192.8,40084.23,30125.62888888889,181962.53,45589.42
2008,9,37,1004,2718.08,51663.35,22363.796388888888,1576498.55,91104.8
2008,10,392,6743,128825.37,40069.5,3539.5259375,801355.6799999999,227851.03
2008,11,69,647,690.75,20382.72,265190.79911764705,906480.7,157602.74
2008,12,85,4366,14313.28,78934.73,23461.887023809522,1034502.6,177879.86
